City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Kapaa,22.08,-159.32,82.0,69,90,16.11,US,1595300957
Katangli,51.71,143.23,55.99,88,100,16.44,RU,1595300957
Constitución,-35.33,-72.42,52.14,87,99,12.73,CL,1595300957
Mattru,7.62,-11.83,72.72,98,100,4.21,SL,1595300957
Port Alfred,-33.59,26.89,57.67,68,0,3.6,ZA,1595300957
Rawson,-43.3,-65.1,44.55,80,99,15.77,AR,1595300957
Jamestown,42.1,-79.24,69.8,68,1,6.93,US,1595300704
Ushuaia,-54.8,-68.3,28.4,100,0,5.82,AR,1595300957
Tuatapere,-46.13,167.68,51.28,74,75,7.49,NZ,1595300957
Punta Arenas,-53.15,-70.92,30.2,92,4,9.17,CL,1595300676
Basco,20.45,121.97,85.05,78,35,12.15,PH,1595300958
New Norfolk,-42.78,147.06,57.99,68,95,4.0,AU,1595300958
Ponta do Sol,32.67,-17.1,69.8,77,40,14.99,PT,1595300958
Port Hardy,50.7,-127.42,64.4,77,75,6.93,CA,1595300958
Bluff,-46.6,168.33,52.02,77,97,6.38,NZ,1595300958
Qaanaaq,77.48,-69.36,45.93,70,51,1.32,GL,1595300812
Mataura,-46.19,168.86,51.67,75,100,3.53,NZ,1595300781
Forestville,38.85,-76.88,84.0,88,20,4.7,US,1595300958
Rikitea,-23.12,-134.97,67.21,72,88,18.63,PF,1595300958
Vaini,-21.2,-175.2,75.2,64,20,9.17,TO,1595300958
Nikolskoye,59.7,30.79,60.8,87,99,4.47,RU,1595300958
Yellowknife,62.46,-114.35,71.01,56,40,10.29,CA,1595300958
Ust'-Omchug,61.15,149.63,70.9,43,88,8.28,RU,1595300959
Port Maria,18.37,-76.89,78.01,90,100,10.94,JM,1595300959
Severo-Kuril'sk,50.68,156.12,54.34,78,46,1.21,RU,1595300959
Vardø,70.37,31.11,57.2,100,75,8.05,NO,1595300959
Butaritari,3.07,172.79,82.98,66,79,2.64,KI,1595300959
George Town,5.41,100.34,87.8,83,20,4.7,MY,1595300959
Sitka,57.05,-135.33,55.4,93,90,5.82,US,1595300959
Ribeira Grande,38.52,-28.7,68.86,69,16,1.48,PT,1595300959
Saint Paul Harbor,57.79,-152.41,75.2,44,20,11.41,US,1595300812
Vestmannaeyjar,63.44,-20.27,49.17,69,12,1.59,IS,1595300903
Suárez,2.95,-76.7,67.39,81,100,3.09,CO,1595300960
Chui,-33.7,-53.46,66.0,86,97,6.93,UY,1595300961
Chokurdakh,70.63,147.92,82.44,33,74,14.9,RU,1595300961
Rapid Valley,44.06,-103.15,69.8,77,1,10.29,US,1595300961
Tasiilaq,65.61,-37.64,42.8,87,96,5.82,GL,1595300961
Mafinga,-7.25,35.07,56.79,70,13,2.42,TZ,1595300961
Cape Town,-33.93,18.42,51.8,81,0,10.29,ZA,1595300803
Codrington,-38.27,141.97,54.64,72,56,10.6,AU,1595300961
Inírida,3.87,-67.92,72.88,95,95,1.72,CO,1595300961
Busselton,-33.65,115.33,64.99,43,100,18.63,AU,1595300961
San Cristobal,7.77,-72.22,66.13,86,100,3.58,VE,1595300962
Hermanus,-34.42,19.23,55.0,82,3,6.78,ZA,1595300962
Olafsvik,64.89,-23.71,48.72,75,97,3.18,IS,1595300860
Bandarbeyla,9.49,50.81,79.68,58,93,28.03,SO,1595300962
Port Hedland,-20.32,118.57,80.6,21,0,16.11,AU,1595300881
Albany,42.6,-73.97,78.01,87,3,4.76,US,1595300703
